cont_id,recency,frequency,monetary value,R_Quartile,F_Quartile,M_Quartile,RFMClass,Total Score,Segment
100504834,947.0,7,13977.0,3,4,3,343,10,Require Activation
100504835,1623.0,3,14742.0,2,3,3,233,8,Needs Attention
100504836,1362.0,2,1675.8,2,2,1,221,5,Loyal
100504837,1489.0,3,15110.0,2,3,3,233,8,Needs Attention
100504838,1616.0,1,4190.0,2,1,2,212,5,Loyal
100504841,1612.0,1,528.0,2,1,1,211,4,Champions
100504842,1612.0,1,493.5,2,1,1,211,4,Champions
100504845,1608.0,4,12352.5,2,3,3,233,8,Needs Attention
100504846,1607.0,1,774.0,2,1,1,211,4,Champions
100504847,1607.0,1,1825.6,2,1,1,211,4,Champions
100504848,1606.0,1,2546.25,2,1,1,211,4,Champions
100504849,1514.0,1,365.5,2,1,1,211,4,Champions
100504852,1596.0,1,1836.0,2,1,1,211,4,Champions
100504854,199.0,5,8687.25,4,3,3,433,10,Require Activation
100504857,1568.0,4,15569.0,2,3,3,233,8,Needs Attention
100504858,1553.0,4,2131.6,2,3,1,231,6,Potential
100504859,1589.0,9,12550.5,2,4,3,243,9,Require Activation
100504862,98.0,4,17837.0,4,3,4,434,11,Require Activation
100504865,1572.0,4,7973.0,2,3,3,233,8,Needs Attention
100504866,1574.0,3,5457.0,2,3,2,232,7,Promising
100504869,1568.0,9,10718.5,2,4,3,243,9,Require Activation
100504871,1392.0,6,18339.5,2,4,4,244,10,Require Activation
100504872,1435.0,2,4011.5,2,2,2,222,6,Potential
100504881,1467.0,2,7815.75,2,2,3,223,7,Promising
100504883,1545.0,1,4824.0,2,1,2,212,5,Loyal
100504885,335.0,3,20506.25,4,3,4,434,11,Require Activation
100504888,1511.0,2,10157.5,2,2,3,223,7,Promising
100504889,1390.0,10,35772.8,2,4,4,244,10,Require Activation
100504898,1474.0,4,7982.23,2,3,3,233,8,Needs Attention
100504900,642.0,14,34535.0,3,4,4,344,11,Require Activation
100504904,1460.0,1,825.0,2,1,1,211,4,Champions
100504905,1509.0,1,2436.0,2,1,1,211,4,Champions
100504906,1178.0,3,4190.5,3,3,2,332,8,Needs Attention
100504907,606.0,2,1394.0,3,2,1,321,6,Potential
100504908,1508.0,1,13068.0,2,1,3,213,6,Potential
100504910,1506.0,2,9814.5,2,2,3,223,7,Promising
100504913,1504.0,1,5758.75,2,1,2,212,5,Loyal
100504914,1504.0,3,10525.5,2,3,3,233,8,Needs Attention
100504920,1482.0,2,4144.5,2,2,2,222,6,Potential
100504921,1482.0,3,7940.0,2,3,3,233,8,Needs Attention
100504922,1475.0,1,2340.0,2,1,1,211,4,Champions
100504923,1398.0,3,11176.2,2,3,3,233,8,Needs Attention
100504924,1474.0,5,8376.5,2,3,3,233,8,Needs Attention
100504929,1439.0,2,5765.5,2,2,2,222,6,Potential
100504930,1453.0,1,1125.0,2,1,1,211,4,Champions
100504932,1454.0,1,6560.4,2,1,2,212,5,Loyal
100504934,1079.0,7,29786.0,3,4,4,344,11,Require Activation
100504936,957.0,1,1011.0,3,1,1,311,5,Loyal
100504938,1305.0,1,1640.0,3,1,1,311,5,Loyal
100504942,1414.0,2,6849.2,2,2,2,222,6,Potential
100504943,1411.0,1,1610.75,2,1,1,211,4,Champions
100504945,1298.0,8,41236.9,3,4,4,344,11,Require Activation
100504948,1408.0,1,4258.5,2,1,2,212,5,Loyal
100504950,295.0,1,1007.6,4,1,1,411,6,Potential
100504951,1366.0,2,8377.6,2,2,3,223,7,Promising
100504952,1407.0,4,10550.0,2,3,3,233,8,Needs Attention
100504953,1256.0,2,1487.5,3,2,1,321,6,Potential
100504954,51.0,1,4573.0,4,1,2,412,7,Promising
100504959,896.0,1,4666.5,3,1,2,312,6,Potential
100504962,1393.0,1,2160.4,2,1,1,211,4,Champions
100504967,1389.0,2,10079.8,2,2,3,223,7,Promising
100504975,541.0,10,20743.75,4,4,4,444,12,Require Activation
100504977,1375.0,1,328.5,2,1,1,211,4,Champions
100504978,575.0,23,85858.9,3,4,4,344,11,Require Activation
100504980,1209.0,11,45051.0,3,4,4,344,11,Require Activation
100504981,1365.0,7,9746.0,2,4,3,243,9,Require Activation
100504982,423.0,8,12536.75,4,4,3,443,11,Require Activation
100504983,1370.0,1,996.0,2,1,1,211,4,Champions
100504984,1339.0,1,5656.75,2,1,2,212,5,Loyal
100504985,557.0,3,12452.5,3,3,3,333,9,Require Activation
100504987,1328.0,1,0.0,2,1,1,211,4,Champions
100504995,1337.0,1,3926.25,2,1,2,212,5,Loyal
100505000,1330.0,3,33876.75,2,3,4,234,9,Require Activation
100505001,1101.0,3,29643.75,3,3,4,334,10,Require Activation
100505002,1320.0,1,531.25,3,1,1,311,5,Loyal
100505013,1302.0,8,14476.0,3,4,3,343,10,Require Activation
100505014,1306.0,1,1515.0,3,1,1,311,5,Loyal
100505017,1303.0,2,3327.75,3,2,2,322,7,Promising
100505018,1300.0,1,6579.0,3,1,2,312,6,Potential
100505020,1302.0,4,25140.0,3,3,4,334,10,Require Activation
100505023,1295.0,1,4690.0,3,1,2,312,6,Potential
100505024,1295.0,6,22461.25,3,4,4,344,11,Require Activation
100505025,1294.0,3,368.0,3,3,1,331,7,Promising
100505028,1277.0,3,10464.2,3,3,3,333,9,Require Activation
100505029,1283.0,1,5457.0,3,1,2,312,6,Potential
100505032,1256.0,2,3402.0,3,2,2,322,7,Promising
100505042,1271.0,1,0.0,3,1,1,311,5,Loyal
